"source"	"target"	"type"	"subtype"
"48213"	"26647"	"5"	""
"29688"	"42583"	"1"	"6"
"42583"	"46139"	"2"	""
"29688"	"33970"	"1"	"4"
"46355"	"44042"	"5"	""
"49181"	"48199"	"2"	"8"
"49181"	"45470"	"5"	""
"28598"	"37580"	"5"	""
"28598"	"37578"	"5"	""
"33970"	"33969"	"5"	""
"47411"	"48220"	"2"	""
"26357"	"47407"	"2"	""
"38591"	"47410"	"5"	""
"26357"	"47406"	"1"	"4"
"26357"	"48221"	"1"	""
"26357"	"47405"	"1"	""
"47405"	"38591"	"1"	""
"26357"	"43747"	"1"	""
"26357"	"47404"	"1"	"4"
"26357"	"40890"	"1"	""
"32294"	"35379"	"1"	""
"26354"	"39031"	"5"	""
"26354"	"35380"	"1"	""
"39008"	"39073"	"1"	""
"28378"	"33085"	"1"	""
"28378"	"33084"	"1"	""
"48224"	"48225"	"2"	""
"48224"	"48226"	"1"	""
"29645"	"39958"	"5"	""
"29645"	"39959"	"3"	""
"32224"	"48229"	"1"	"4"
"39959"	"39960"	"5"	""
"39960"	"39926"	"1"	"4"
"29645"	"39923"	"1"	"1"
"39959"	"39927"	"1"	"4"
"33137"	"42095"	"1"	"1"
"43747"	"48236"	"5"	""
"29645"	"39925"	"1"	"4"
"39959"	"41978"	"1"	"4"
"33566"	"27101"	"5"	""
"30778"	"30779"	"5"	""
"30778"	"30780"	"1"	""
"31995"	"37556"	"2"	""
"31995"	"37562"	"1"	""
