"id"	"entry"	"lexnum"	"status"	"%"
"26762"	"26764"	"I.2"	"2"	"100"
"26763"	"26765"	"II"	"2"	"100"
"26764"	"26766"	"I.1"	"2"	"100"
"26765"	"26767"	""	"2"	"100"
"26766"	"26768"	"I.1"	"2"	"100"
"26767"	"26769"	"I"	"1"	"100"
"26768"	"26770"	"I"	"1"	"100"
"26769"	"26771"	"I.1a"	"2"	"100"
"26770"	"26772"	"I"	"2"	"100"
"26771"	"26773"	""	"2"	"100"
"26773"	"26775"	"1b"	"2"	"100"
"26774"	"26776"	""	"2"	"100"
"26775"	"26777"	"1b"	"2"	"100"
"26776"	"26778"	""	"2"	"100"
"26777"	"26779"	"1"	"2"	"100"
"26778"	"26780"	"III"	"2"	"100"
"26779"	"26781"	"2"	"2"	"100"
"26780"	"26782"	""	"2"	"100"
"26781"	"26783"	""	"2"	"100"
"26782"	"26784"	""	"2"	"100"
"26783"	"26785"	"I.1"	"2"	"100"
"26784"	"26786"	"II"	"2"	"100"
"26785"	"26787"	""	"2"	"100"
"26786"	"26788"	""	"2"	"100"
"26787"	"26789"	"II"	"2"	"100"
"26788"	"26790"	"1"	"2"	"100"
"26789"	"26791"	"1"	"2"	"100"
"26790"	"26792"	""	"2"	"100"
"26791"	"26793"	"I.1"	"2"	"100"
"26792"	"26794"	""	"2"	"100"
"26793"	"26795"	""	"2"	"100"
"26794"	"26796"	""	"2"	"100"
"26795"	"26797"	""	"2"	"100"
"26796"	"26798"	"1"	"2"	"100"
"26797"	"26799"	"I"	"2"	"100"
"26798"	"26800"	"I"	"2"	"100"
"26799"	"26801"	"I"	"2"	"100"
"26800"	"26802"	""	"2"	"100"
"26801"	"26803"	""	"2"	"100"
"26802"	"26804"	"I.1"	"2"	"100"
"26803"	"26805"	"II"	"2"	"100"
"26804"	"26806"	"I"	"2"	"100"
"26805"	"26807"	"I.1"	"2"	"100"
"26806"	"26808"	"I.1"	"2"	"100"
"26807"	"26809"	"II"	"2"	"100"
"26808"	"26810"	"I"	"2"	"100"
"26809"	"26811"	"I"	"2"	"100"
"26810"	"26812"	"I.2"	"2"	"100"
"26811"	"26813"	""	"2"	"100"
"26812"	"26814"	"I"	"2"	"100"
"26813"	"26815"	"I.1"	"2"	"100"
"26814"	"26816"	"a"	"2"	"100"
"26815"	"26817"	""	"2"	"100"
